Id,Whisky Name,Whisky Region or Style
c1b20876-9b38-46d7-9a0d-65d4cb06db07,100 Pipers,Blend
2b5c329a-340e-4cd6-bd04-157213754898,1792 12 Year,Bourbon
41dacdf9-4b1d-4a50-b455-f4ac75f70f8f,1792 225Th Anniversary,Bourbon
1a23d01e-5db0-4103-b7fb-8a89a48b3041,1792 Bottled In Bond,Bourbon
059d980e-c209-4396-9926-e617a47cb47e,1792 Bottled In Bond Oak Liquor Cabinet Pick,Bourbon
aaab7100-c7af-4578-8e89-11b42f99b4bc,1792 Bottled-In-Bond,Bourbon
71a06415-0d5b-4180-a823-f319694fcb6b,1792 Full Proof,Bourbon
795e0b91-58ef-4c79-9e5d-af8c133d062f,1792 Full Proof Angel's Beverage,Bourbon
e99aa38d-df39-4674-86aa-018b22778f60,1792 Full Proof Binny's,Bourbon
4ba66d46-3fe4-4a6d-ac09-e23f90bba0cb,1792 Full Proof Loch & K(E)Y Microbatch,Bourbon
5110f1e3-09fe-4a34-9659-7f057bd20074,1792 Full Proof Lueken's Store Pick,Bourbon
088ea089-0582-441b-b1e6-cf0c06e231bf,1792 Full Proof Oak Liquor Cabinet Pick,Bourbon
412021f3-f741-4a14-ab9b-f58ddedb3d62,1792 Full Proof Poison Girl,Bourbon
f650f46a-4fb7-459c-ad99-88278c79cf75,1792 Full Proof Red Dog Wine & Spirits,Bourbon
99ad854a-b9c8-4550-9a8f-54d5e32b322d,1792 Full Proof Single Barrel K&L Pick,Bourbon
75a10f36-c9a6-4f32-80b1-77a8e16f981d,1792 Full Proof Single Barrel Midway Discount Liquors,Bourbon
ade1836a-32ad-4845-a1f6-49baabce2c72,1792 Full Proof Single Barrel Omaha,Bourbon
179fdb26-d5ff-45fd-aacd-38ce6cd5af07,1792 Full Proof Store Pick,Bourbon
2e3f8491-df3d-4d76-8f1a-b139d8674893,1792 Full Proof Yankee Spirits Select Barrel #2098,Bourbon
148e203c-ca9c-4bab-9b80-07c069a8ad95,1792 High Rye,Bourbon
150644ae-bace-4dc2-87cd-25c59a652d4b,1792 Kirkland Bottled-In-Bond,Bourbon
01bc6669-d5f1-45af-ba4f-abd1fecaa8c6,1792 Port Finish,Bourbon
0144b2ce-79f0-400c-96d2-0421630c193a,1792 Ridgemont Reserve,Bourbon
97a182de-3274-42ed-914d-ab0613d4223a,1792 Single Barrel,Bourbon
317a6fe8-207a-4d2f-bbe2-3c03d9e8e24c,1792 Single Barrel Crown Liquors,Bourbon
774d56c3-2160-4ad6-a82b-f27843233bf6,1792 Single Barrel Oak Liquor Cabinet Pick,Bourbon
56ed9e4b-5730-42c1-85f9-953d89df6812,1792 Single Barrel Parkway Wine And Spirits,Bourbon
86a4f364-d9cd-4ce5-ab26-de1b44f703d6,1792 Single Barrel Select Hyvee,Bourbon
f67ab776-52b0-4e18-8f34-e02514b51346,1792 Single Barrel Virginia Selection,Bourbon
3f3a05eb-73a1-4117-82a5-2f4e63d8c896,1792 Small Batch,Bourbon
86a1f5e7-69ed-4bda-8f65-4d577bd9d7dc,1792 Sweet Wheat,Bourbon
d86daa49-17d4-4a3e-8ebc-1eb4bce974e5,1835 Bourbon Whiskey,Bourbon
16ac31c2-9f61-4bd9-adb9-2732cc968a40,291 Single Barrel Colorado Rye Whiskey,Rye
e7e40fbb-fd9f-4e46-9643-dfb4373b0d4d,601 Bourbon,Bourbon
367eda21-f1d6-41ee-a201-4e5f6b8056bc,66 Gilead Crimson Rye,Canada
06a6356b-82a6-4c57-9619-e11131e8077e,66 Gilead Wild Oak,Canada
fc63be7c-5213-4f03-9d77-762dbbf83a2a,A Drop Of The Irish Black Adder 2016 Sherry Cask Finish Single Cask,Ireland
89362ea5-06fc-4f91-a37d-2304c572f2c7,A Fine Christmas Malt 17 The Whisky Exchange,Speyside
af1c0c59-b1c5-45ea-a21f-f9ae723c4d10,A.D. Laws Four Grain Straight Bourbon,Bourbon
7f702e27-e379-4340-94ba-e049604010e7,A.D. Laws Four Grain Straight Bourbon Bib,Bourbon
4736cc97-65f7-4e13-96b7-fbd8cbb36199,A.D. Laws Secale Straight Rye,Rye
f161178a-5098-49f4-ad56-86553f4b5b14,A.H. Hirsch 16,Bourbon
376c4b85-76d1-478e-b6af-e7d7b82f5eef,A.H. Hirsch 16 Bourbon 1974,Bourbon
d5a76605-26b6-4eda-937a-70566b532fe2,A.H. Hirsch 16 Gold Foil,Bourbon
8b30f3d4-5c2b-4903-abb7-eaae8d039a77,Aberfeldy 12,Highlands
2862ec09-c760-4b72-ade3-973bea95f132,Aberfeldy 12 Batch 2905,Highland
19ea7fa7-74cd-4f53-b7f4-53046726eeae,Aberfeldy 13 1986 Signatory Vintage,Speyside
b44afedd-ab06-42e7-bd21-b3e6c67c8f6b,"Aberfeldy 16 ""Ramble"" Single Cask",Highlands
80a183b1-c75c-485d-a959-e1f0d96b562f,Aberfeldy 16 1994 AD Rattray Cask #4017,Highlands
c6d4a14d-063e-4700-a408-79ea030b9673,Aberfeldy 18,Highlands
aa60272b-77ee-40da-89d4-6df20b66f4eb,Aberfeldy 18 1997 Cadenhead's,Highlands
40c12953-ac93-4332-9696-1bfbda3875cd,Aberfeldy 18 1997 Cadenhead's Small Batch,Speyside
6670103c-10b6-484d-877c-606b9f1b8cf6,Aberfeldy 18 2001 Exceptional Cask,Highlands
c658317c-1b2f-47b8-a49c-b9fc1199e6f3,Aberfeldy 18 Cadenhead's Small Batch,Speyside
681be6ba-709a-482b-9e30-27cda4fce4b5,Aberfeldy 18 Distillery Hand Fill,Highlands
56aa4b5a-fcb3-4dbf-97e1-f3264dc7fa2a,Aberfeldy 18 Exceptional Cask,Highland
c8498116-fdad-4645-a998-0545718432f8,Aberfeldy 18 French Red Wine Cask Finish,Speyside
9eda8037-0c72-42b3-a167-50cafb03fa42,Aberfeldy 18 French Red Wine Finish,Speyside
4defea9f-426a-461c-92ad-b19884d117f6,Aberfeldy 18 Single Cask Hand Filled 1998,Highlands
8dea6685-a8bc-4a02-b3b3-4e92e08abf73,Aberfeldy 1991 Gordon & Macphail,Highlands
09d6d83c-a47b-4b8d-a0a2-10bdba54a888,Aberfeldy 1994 Wemyss,Highlands
e8f071b3-6818-4b5f-ac4f-651de5331850,Aberfeldy 1995 G&M Cask Strength,Highlands
5ea954b6-c542-4cc3-a259-40e9cfa1a26d,Aberfeldy 1998 Signatory Vintage,Highlands
11ef8083-361a-4831-bd12-cb7804bcfd87,Aberfeldy 20 Exceptional Cask Series AB2798,Highlands
